EmployeeID,Age,Salary,Satisfaction,YearsAtCompany,Attrition
129,49,82476,4,9,No
130,23,75445,1,8,Yes
131,27,35713,5,1,No
132,49,86178,2,14,No
133,49,79407,1,11,Yes
134,41,34804,3,11,No
135,51,80990,4,14,No
136,32,40136,1,13,Yes
137,49,30009,2,4,Yes
138,46,49255,3,12,Yes
139,54,88141,2,5,No
140,22,53793,2,3,Yes
141,48,86570,3,3,No
142,34,59548,2,3,Yes
143,24,67892,3,1,No
144,27,31015,1,3,Yes
145,29,89168,3,10,No
146,48,57712,3,0,No
147,30,64961,4,11,Yes
148,58,38415,3,5,No
149,54,76318,3,0,No
150,45,77280,1,9,Yes
151,36,53833,4,5,No
152,53,34158,5,0,No
153,53,50309,1,5,No
154,45,36970,1,9,No
155,33,36938,5,7,No
156,23,51168,3,10,No
157,24,76540,2,1,No
158,58,50384,4,1,No
159,38,48017,2,13,Yes
160,23,40344,5,14,Yes
161,23,70034,1,12,No
162,49,38702,1,11,Yes
163,44,30384,4,3,No
164,58,30404,1,10,Yes
165,53,70943,1,2,Yes
166,54,77926,4,3,No
167,22,59189,4,12,No
168,40,42763,5,11,No
169,23,48384,1,6,Yes
170,47,62606,1,12,No
171,53,39860,5,10,No
172,27,68757,3,0,Yes
173,53,45106,3,5,No
174,25,80612,3,14,No
175,32,53574,5,14,No
176,38,53524,1,2,No
177,59,33636,5,10,No
178,45,40916,5,9,Yes
179,26,34809,3,6,Yes
180,55,62201,2,9,No
181,27,83330,1,1,Yes
182,43,43456,3,13,No
183,32,78212,2,1,Yes
184,37,86397,2,12,Yes
185,54,85752,4,3,Yes
186,30,68765,1,0,Yes
187,27,64816,2,2,Yes
188,37,75106,3,12,No
189,50,83932,4,8,No
190,24,47100,1,6,Yes
191,41,87091,5,14,Yes
192,57,51949,3,6,No
193,40,34544,2,12,Yes
194,47,67744,2,12,Yes
195,24,75543,3,10,Yes
196,40,72783,2,3,No
197,41,56657,4,1,No
198,53,66187,1,14,No
199,28,77198,4,13,Yes
200,54,37239,2,3,No
201,39,88918,5,5,No
202,22,44489,1,10,No
203,32,79401,1,10,Yes
204,49,88017,3,2,Yes
205,46,73125,3,0,No
206,44,79922,5,13,No
207,52,58538,1,11,No
208,51,62049,5,7,No
209,56,67131,3,11,Yes
210,28,72944,3,12,No
211,37,80229,1,4,No
212,47,38427,4,14,No
213,23,71348,2,4,Yes
214,22,54285,3,10,No
215,33,67626,3,3,No
216,26,72808,4,5,Yes
217,58,52928,4,2,Yes
218,53,83871,5,8,No
219,30,49198,5,4,No
220,56,49758,2,2,Yes
221,40,45254,2,10,No
222,37,74238,1,0,Yes
223,24,31252,5,9,No
224,41,69764,3,11,Yes
225,45,42173,5,5,No
226,54,67441,3,14,Yes
227,45,56698,4,1,No
228,32,83682,5,12,Yes
229,29,89494,4,2,No
230,57,45781,2,0,Yes
231,59,43051,2,8,Yes
232,41,69649,1,7,Yes
233,56,36949,5,11,No
234,46,72289,4,1,No
235,56,85393,3,14,No
236,46,38017,2,11,Yes
237,50,36941,2,10,Yes
238,39,55934,3,7,No
239,39,53386,4,11,No
240,23,89826,4,13,No
241,56,40209,5,8,No
242,37,47715,5,0,No
243,57,58920,1,12,Yes
244,54,83413,2,4,Yes
245,25,86800,5,7,Yes
246,54,61703,4,14,No
247,35,72318,3,10,No
248,42,84267,4,13,Yes
249,41,34637,2,1,No
250,29,34854,4,3,Yes
251,28,82329,1,6,Yes
252,24,86882,2,2,Yes
253,38,73088,3,12,No
254,54,81332,1,11,Yes
255,33,67660,2,4,No
256,43,69811,3,7,No
257,43,79289,1,11,Yes
258,51,85479,1,9,Yes
259,59,49856,2,2,No
260,59,51833,5,3,No
261,29,81984,1,13,No
262,48,49963,1,14,Yes
263,48,85123,3,8,No
264,55,66932,4,13,No
265,42,57169,2,13,No
266,51,37941,2,6,Yes
267,54,44388,5,0,No
268,49,35569,5,13,Yes
269,54,34300,2,11,Yes
270,26,69037,5,3,Yes
271,40,66586,3,3,No
272,25,42015,2,8,Yes
273,56,75002,5,5,No
274,38,81058,2,8,Yes
275,49,36254,4,11,No
276,51,47144,1,14,No
277,50,54214,2,5,Yes
278,27,70118,1,5,Yes
279,56,45183,5,4,No
280,58,36238,1,4,No
281,45,36090,2,1,No
282,50,41637,4,7,No
283,52,52415,5,7,No
284,56,54071,2,10,Yes
285,54,88243,5,12,No
286,42,75415,3,0,No
287,53,72679,1,7,No
288,44,71240,3,4,No
289,54,48271,2,1,Yes
290,24,66034,4,13,Yes
291,39,63434,5,1,No
292,46,34188,1,13,No
293,52,79823,5,14,No
294,24,40161,2,14,No
295,45,58732,5,5,No
296,53,85929,1,10,No
297,43,41314,2,12,Yes
298,44,53954,5,8,No
299,23,87108,4,0,No
300,48,51508,2,11,Yes
301,23,51969,2,5,Yes
302,47,75659,4,8,Yes
303,38,67545,3,7,No
304,54,66668,1,10,Yes
305,30,53061,3,5,No
306,50,43716,5,2,No
307,47,69749,4,7,No
308,56,69144,3,8,Yes
309,46,46907,2,0,Yes
310,45,48777,5,11,No
311,34,57693,5,8,No
312,28,81745,3,13,No
313,57,72928,3,14,No
314,41,56329,4,5,Yes
315,22,76892,1,5,No
316,29,46282,3,11,No
317,37,53624,3,3,Yes
318,35,53321,2,0,Yes
319,33,40488,5,9,Yes
320,44,52574,1,7,Yes
321,36,35240,2,1,No
322,49,73221,4,11,No
323,55,40478,4,0,No
324,23,85645,3,1,No
325,53,75162,3,0,No
326,44,49262,4,0,No
327,43,83295,3,8,No
328,46,82796,1,12,Yes
329,43,34432,3,13,Yes
330,43,59721,5,0,No
331,27,43568,3,12,Yes
332,36,89399,2,3,No
333,58,44178,1,9,Yes
334,54,80428,2,5,Yes
335,29,52195,2,6,Yes
336,26,30302,5,1,No
337,25,47022,1,5,Yes
338,27,30055,1,6,No
339,53,75781,1,9,Yes
340,51,38717,1,13,Yes
341,56,58699,1,9,Yes
342,37,38150,5,1,No
343,34,32125,3,14,Yes
344,51,74247,2,1,Yes
345,40,78513,1,9,No
346,38,46748,3,6,No
347,40,69577,3,11,Yes
348,49,34621,2,0,Yes
349,47,45034,5,7,Yes
350,58,76391,4,10,No
351,47,35126,4,12,No
352,44,35122,3,2,No
353,30,48030,2,10,No
354,33,47302,4,5,No
355,22,49181,3,8,No
356,22,85658,5,5,No
357,55,68638,4,8,No
358,53,31531,3,6,Yes
359,46,70940,3,14,No
360,22,82497,1,8,No
361,37,70441,5,1,Yes
362,26,53333,1,11,Yes
363,43,69650,2,7,No
364,50,64674,1,7,Yes
365,24,65854,1,1,Yes
366,33,76271,4,11,No
367,47,38152,3,13,Yes
368,37,68518,5,3,No
369,58,75540,1,13,Yes
370,43,40267,5,14,Yes
371,50,55289,1,10,No
372,35,31062,2,14,No
373,49,81128,1,6,Yes
374,26,80448,4,10,No
375,51,59926,3,3,Yes
376,26,36229,2,3,No
377,33,86793,1,5,Yes
378,37,79277,5,9,No
379,47,77915,2,5,Yes
380,47,34632,2,9,Yes
381,42,69056,1,14,No
382,57,33596,2,2,No
383,54,74243,5,14,No
384,51,36168,2,8,Yes
385,58,72563,5,11,No
386,44,37561,1,9,Yes
387,31,38258,3,13,No
388,26,46616,2,10,Yes
389,57,89500,3,1,No
390,55,88513,5,5,No
391,52,56734,2,11,Yes
392,31,36371,4,6,No
393,40,83358,3,11,No
394,53,56069,2,12,Yes
395,22,44369,3,8,No
396,26,42910,2,12,No
397,25,37943,1,2,Yes
398,37,42199,3,9,No
399,45,45728,4,2,No
400,37,53275,4,6,No
401,23,36738,5,13,No
402,49,45913,2,3,Yes
403,53,65240,3,12,No
404,48,49123,5,7,Yes
405,41,84553,3,12,No
406,45,78447,2,6,Yes
407,33,64529,4,4,No
408,56,40167,1,6,No
409,54,40554,4,2,No
410,54,47260,5,11,No
411,58,77045,1,1,No
412,33,33812,5,5,Yes
413,24,58024,2,1,Yes
414,22,88656,1,2,No
415,54,80612,5,5,No
416,31,57285,2,4,Yes
417,50,56900,4,7,No
418,34,80885,2,8,Yes
419,33,31605,3,10,Yes
420,52,35622,2,2,Yes
421,23,36767,2,11,Yes
422,56,57139,3,9,Yes
423,44,41613,5,2,Yes
424,38,86138,5,2,No
425,47,82669,2,12,Yes
426,29,40589,3,12,No
427,50,43918,3,5,No
428,47,50119,4,14,No
429,31,57446,5,14,No
430,47,88504,1,0,No
431,55,43046,5,6,Yes
432,28,54818,5,11,Yes
433,25,65358,4,0,Yes
434,32,80215,1,13,No
435,50,34324,4,4,No
436,57,40787,1,14,No
437,46,39111,2,9,Yes
438,42,68110,1,12,Yes
439,57,46389,4,7,No
440,31,86641,5,3,No
441,58,71427,1,4,No
442,30,44043,1,3,Yes
443,45,58746,3,11,No
444,56,87347,5,11,Yes
445,56,52350,2,13,Yes
446,57,71605,4,3,No
447,39,30117,2,11,Yes
448,53,76685,5,7,No
449,45,48935,1,1,No
450,44,77077,1,0,Yes
451,53,43234,5,2,No
452,58,68328,1,8,Yes
453,33,83441,1,3,No
454,34,30846,1,9,Yes
455,44,40954,4,4,No
456,46,43703,4,1,No
457,56,78153,3,3,No
458,51,76514,2,1,Yes
459,38,52700,5,14,No
460,41,62043,5,1,Yes
461,46,36469,5,3,No
462,43,60105,3,5,No
463,34,72101,4,6,Yes
464,40,56386,3,9,No
465,57,88067,5,2,No
466,33,79376,2,2,Yes
467,40,75587,1,9,Yes
468,33,66976,4,5,No
469,30,69051,4,12,Yes
470,28,32048,3,11,Yes
471,49,69001,4,2,Yes
472,35,42941,5,12,No
473,52,75375,5,1,No
474,40,72533,3,7,No
475,37,31828,5,4,No
476,26,31917,2,14,No
477,56,50618,3,0,No
478,33,62254,2,2,Yes
479,46,69756,1,9,Yes
480,42,81178,2,7,No
481,57,77362,1,3,No
482,44,50128,1,13,No
483,37,88245,2,6,Yes
484,35,75745,3,9,No
485,52,89383,5,11,No
486,26,30009,5,13,Yes
487,56,46644,1,13,Yes
488,44,52422,1,1,No
489,50,39865,3,6,No
490,32,32219,4,4,Yes
491,39,69809,2,4,No
492,33,81212,1,5,Yes
493,30,35287,5,12,No
494,31,64387,3,8,No
495,38,38512,2,13,Yes
496,59,31342,3,5,No
497,28,73336,2,11,Yes
498,34,49216,2,12,No
499,30,81976,1,14,Yes
500,48,81146,3,13,No
